unique_id,name,hair_color,eye_color,height_in_inches,weight_in_pounds,gender
96,Clarence,red,hazel,95,130,female
97,Martha,black,brown,93,91,male
98,Kathy,brown,black,94,212,female
99,Carlos,blonde,hazel,63,214,female
100,Jose,blonde,black,57,207,male
101,William,gray,blue,57,179,female
102,Bobby,brown,green,70,136,male
103,Irene,brown,black,70,268,female
104,Jacqueline,blonde,brown,52,208,female
105,Kathleen,white,hazel,84,164,male
106,Eugene,white,black,78,285,female
107,John,blonde,green,92,213,female
108,Judith,black,black,88,248,male
109,Albert,white,black,92,120,female
110,Alan,black,green,69,90,male
111,Emily,blonde,black,65,270,female
112,Pamela,black,blue,68,207,female
113,Tammy,white,brown,91,265,female
114,Craig,blonde,black,72,280,male
115,Melissa,white,green,80,164,male
116,Diana,blonde,blue,61,176,female
117,Cynthia,brown,hazel,65,286,female
118,Irene,brown,hazel,73,265,female
119,Jennifer,brown,hazel,60,203,female
120,Mark,brown,hazel,56,210,male
121,Melissa,black,blue,91,242,male
122,Roy,blonde,blue,64,104,male
123,Angela,red,black,66,122,male
124,Carl,black,hazel,90,161,female
125,David,white,blue,58,278,male
126,Joshua,red,black,82,243,female
127,Norma,red,black,87,106,male
128,Peter,gray,black,75,206,female
129,Donald,red,black,78,278,female
130,Charles,brown,black,74,97,female
131,Ashley,gray,brown,88,182,male
132,Bonnie,black,hazel,70,246,female
133,Michelle,gray,green,55,225,male
134,Clarence,red,hazel,62,112,male
135,Laura,blonde,green,70,232,male
136,Philip,blonde,blue,72,142,male
137,Kimberly,white,black,83,104,male
138,Jack,white,black,63,159,female
139,Kevin,brown,black,59,211,male
140,Howard,black,black,74,254,male
141,Sarah,blonde,hazel,81,95,female
142,Julie,white,green,85,170,male
143,Eric,red,black,92,165,male
144,Christina,white,hazel,65,277,female
145,Bobby,red,brown,100,264,female
146,Sandra,red,green,82,148,female
147,Kathleen,black,blue,83,167,male
148,Howard,black,blue,98,251,male
149,Michelle,brown,brown,75,234,female
150,Julie,brown,blue,100,286,male
151,Susan,brown,hazel,55,148,female
152,Annie,blonde,green,71,202,male
153,Dennis,black,green,84,187,male
154,Lisa,white,black,82,284,female
155,Louise,brown,hazel,86,196,female
156,Christina,brown,green,56,259,female
157,Deborah,brown,green,91,288,male
158,Russell,brown,blue,52,197,male
159,Gary,red,brown,77,265,male
160,Frank,brown,green,94,130,male
161,Brian,brown,black,61,289,male
162,Cynthia,brown,blue,70,119,male
163,Norma,black,blue,79,128,male
164,Christina,red,brown,91,215,male
165,Ralph,brown,hazel,58,282,male
166,Alice,red,hazel,92,212,female
167,Sara,gray,black,74,129,male
168,Jessica,red,green,72,91,male
169,Nicole,gray,green,97,120,female
170,Johnny,blonde,black,52,271,male
171,Virginia,red,black,62,281,male
172,Cheryl,brown,black,57,251,male
173,Aaron,brown,brown,56,201,female
174,Maria,white,hazel,99,211,male
175,Ruth,brown,hazel,83,160,male
176,Tina,white,hazel,92,267,female
177,Eric,black,brown,76,123,male
178,Albert,gray,green,79,176,female
179,Ralph,brown,green,84,167,female
180,Katherine,black,hazel,85,119,female
181,Evelyn,red,black,84,263,female
182,Gloria,red,hazel,83,221,female
183,Terry,blonde,hazel,91,147,male
184,Ernest,blonde,brown,92,155,female
185,Evelyn,blonde,hazel,58,136,male
186,Jeffrey,blonde,green,52,245,male
187,Phyllis,red,blue,50,148,female
188,Scott,gray,brown,82,93,female
189,Jose,white,green,54,208,female
190,Mary,black,black,97,270,female
191,Rachel,blonde,hazel,85,279,male
192,Daniel,white,green,54,135,female
193,Carolyn,red,green,59,230,female
194,Kevin,blonde,green,67,254,female
195,Katherine,gray,brown,89,116,male
196,Wanda,white,green,57,180,male
197,Debra,white,black,54,263,female
198,Laura,black,black,74,115,female
199,Gregory,brown,blue,76,187,female
200,Jerry,gray,brown,81,121,female
201,Theresa,blonde,blue,100,92,female
202,Barbara,brown,brown,96,163,female
203,Martha,white,green,85,226,male
204,Joyce,black,blue,85,275,male
205,Adam,blonde,blue,83,162,female
206,Teresa,red,green,61,191,male
207,Dorothy,gray,black,96,181,female
208,Jessica,blonde,black,66,142,male
209,Scott,red,black,56,269,male
210,Willie,white,green,90,189,male
211,Kathy,brown,brown,52,151,male
212,Eric,red,blue,97,224,male
213,Craig,red,brown,82,127,female
214,Patrick,white,black,56,277,female
215,Justin,brown,hazel,77,152,female
216,John,blonde,blue,56,227,female
217,Louis,brown,black,98,111,male
218,Roger,gray,green,80,102,female
219,Douglas,black,hazel,52,166,female
220,Henry,gray,green,81,269,female
221,Bonnie,black,hazel,50,275,male
222,Henry,brown,brown,94,207,male
223,Irene,gray,brown,96,145,male
224,Samuel,black,black,70,151,male
225,Todd,blonde,blue,53,273,male
226,Joshua,gray,brown,68,164,female
227,Terry,brown,hazel,95,246,female
228,Craig,brown,green,79,132,male
229,Keith,red,blue,78,208,male
230,Earl,gray,hazel,57,184,male
231,Christine,black,hazel,74,100,male
232,Marilyn,black,hazel,53,197,male
233,Steven,white,brown,89,200,female
234,Katherine,red,green,56,160,male
235,Diana,red,hazel,94,121,female
236,Chris,red,green,96,154,female
237,Lillian,red,blue,74,105,female
238,Shawn,red,green,65,121,female
239,Kelly,white,blue,79,286,female
240,George,black,hazel,53,128,female
241,Cynthia,brown,green,100,271,female
242,Todd,red,blue,76,193,male
243,Janice,blonde,brown,74,178,male
244,Deborah,brown,brown,64,176,male
245,Kathleen,brown,green,59,230,female
246,Lillian,brown,brown,80,157,female
247,Eric,gray,blue,82,187,female
248,Cheryl,gray,brown,81,168,male
249,Margaret,gray,hazel,78,162,female
250,Henry,gray,green,56,170,female
251,Matthew,blonde,blue,80,114,male
252,Judith,blonde,green,52,121,male
253,Jack,brown,brown,60,280,male
254,James,white,hazel,88,169,female
255,Kevin,white,blue,63,205,male
256,Martha,black,black,83,172,male
257,Sara,brown,green,86,189,male
258,Joseph,blonde,blue,92,275,female
259,Kevin,gray,hazel,83,258,male
260,Sandra,black,green,58,266,male
261,Patricia,brown,brown,81,97,female
262,Tammy,black,blue,57,275,female
263,Gerald,brown,black,54,152,male
264,Ernest,brown,blue,76,101,male
265,Harry,blonde,green,58,140,male
266,Aaron,red,blue,59,266,male
267,David,red,blue,98,108,male
268,Todd,red,blue,62,184,female
269,John,blonde,blue,92,125,female
270,Anthony,white,blue,58,212,female
271,Joyce,red,blue,94,203,female
272,Victor,red,hazel,67,122,male
273,Billy,brown,brown,99,250,male
274,Catherine,brown,hazel,97,278,female
275,Roger,red,hazel,83,290,female
276,Harry,brown,brown,77,102,male
277,Christopher,black,black,69,102,male
278,Louise,gray,black,63,205,female
279,Richard,white,blue,87,100,male
280,Kimberly,blonde,green,88,139,male
281,Betty,brown,brown,78,284,male
282,Angela,gray,black,89,101,female
283,Alice,brown,hazel,87,281,male
284,Michelle,gray,black,90,283,male
285,Eric,gray,green,75,249,female
286,Wayne,black,brown,57,224,female
287,Clarence,blonde,brown,65,111,female
288,Stephanie,brown,blue,93,220,female
289,Betty,red,green,56,231,male
290,Matthew,white,blue,68,111,male
291,Lisa,gray,blue,63,275,male
292,Frank,gray,blue,69,286,male
293,Peter,black,black,95,270,female
294,Bonnie,gray,green,51,269,female
295,Jeremy,blonde,blue,53,101,male
296,Harold,blonde,brown,62,249,female
297,Katherine,gray,blue,62,121,male
298,Todd,white,blue,92,123,male
299,Beverly,red,brown,93,97,female
300,Donald,brown,black,53,194,male
301,Paula,white,black,88,260,female
302,Mark,red,green,52,167,female
303,Ashley,black,brown,71,131,male
304,Joe,black,green,52,173,male
305,Kenneth,gray,black,67,289,male
306,Lisa,blonde,black,75,225,male
307,Raymond,blonde,black,98,230,female
308,Paul,white,blue,64,133,female
309,Joe,white,green,85,243,male
310,Mary,gray,hazel,86,198,male
311,Irene,blonde,brown,96,277,male
312,Ralph,white,hazel,61,117,male
313,Ruth,black,brown,100,178,male
314,Diana,white,brown,90,256,male
315,Justin,white,hazel,93,91,female
316,Margaret,black,green,80,173,female
317,Christine,gray,blue,87,281,female
318,Lillian,black,black,63,160,male
319,Ralph,brown,black,75,218,male
320,Paula,brown,hazel,81,118,female
321,Matthew,black,blue,95,143,female
322,Angela,black,brown,66,279,male
323,Deborah,white,hazel,86,220,female
324,Timothy,red,blue,94,240,female
325,Tina,gray,blue,50,265,female
326,Walter,red,hazel,85,234,female
327,Kathy,white,brown,69,278,female
328,Henry,red,hazel,68,230,female
329,Fred,brown,blue,83,205,male
330,Amanda,blonde,green,63,164,female
331,Kimberly,white,brown,94,208,female
332,Shawn,brown,hazel,97,185,female
333,Mary,black,blue,93,136,male
334,Russell,brown,green,61,154,female
335,Karen,red,blue,54,267,male
336,Bobby,gray,black,83,120,female
337,Eric,white,blue,95,227,male
338,Laura,black,blue,55,182,female
339,Karen,black,black,97,169,male
340,Walter,brown,black,66,116,female
341,Justin,gray,blue,87,143,female
342,Amy,gray,green,96,200,male
343,Gloria,white,brown,58,107,female
344,Roy,brown,brown,57,276,female
345,Karen,gray,blue,62,272,female
346,Jerry,white,black,98,229,male
347,Frank,gray,green,63,135,female
348,Craig,brown,black,84,135,female
349,Michael,black,black,89,181,female
350,Steve,red,brown,60,270,female
351,Billy,white,brown,50,213,male
352,Deborah,white,blue,84,132,female
353,Phillip,red,black,68,215,male
354,Roger,red,green,69,150,male
355,Ralph,gray,black,52,124,male
356,Lois,blonde,black,86,99,female
357,Martin,white,hazel,51,137,female
358,Pamela,brown,black,52,179,female
359,Howard,red,black,69,93,female
360,Emily,white,green,78,138,male
361,Jennifer,white,green,53,103,male
362,Virginia,gray,black,69,248,female
363,Jesse,white,black,61,253,female
364,Fred,blonde,black,72,130,male
365,Christine,red,black,70,280,male
366,Linda,red,blue,95,194,female
367,Kathryn,white,black,74,126,female
368,Marilyn,brown,brown,94,145,male
369,Adam,white,brown,58,111,male
370,Cynthia,gray,black,85,96,male
371,Richard,gray,brown,69,197,female
372,Gerald,red,blue,64,93,male
373,Kathryn,white,black,83,180,male
374,Peter,red,blue,72,256,male
375,Heather,blonde,hazel,64,244,male
376,Larry,blonde,black,95,236,female
377,Doris,red,blue,52,104,female
378,Randy,blonde,brown,66,182,male
379,Christina,white,brown,87,269,female
380,Theresa,gray,blue,76,158,female
381,Craig,gray,blue,51,141,female
382,Doris,black,hazel,92,249,female
383,Richard,white,hazel,55,237,male
384,David,black,green,90,281,male
385,Christopher,gray,green,77,286,female
386,Anne,white,hazel,82,268,male
387,Kathryn,brown,black,97,136,male
388,Robin,brown,hazel,99,133,male
389,Carolyn,red,hazel,62,239,male
390,Douglas,brown,hazel,86,136,female
391,Harold,blonde,green,59,232,male
392,Gloria,black,green,62,194,male
393,Elizabeth,red,black,71,140,female
394,Judy,red,blue,93,209,male
395,Sean,brown,brown,70,120,male
396,Bobby,black,blue,94,238,male
397,Andrew,white,black,74,286,male
398,Lois,gray,black,66,237,male
399,Linda,gray,black,85,250,female
400,Philip,brown,hazel,82,263,male
401,Cheryl,white,green,80,288,male
402,Robert,gray,blue,89,254,female
403,Fred,red,hazel,90,278,female
404,Sarah,red,hazel,55,101,male
405,Anna,white,green,63,272,female
406,Kelly,red,brown,50,215,male
407,Pamela,brown,green,51,231,male
408,William,brown,brown,79,160,female
409,Kathryn,red,hazel,95,118,female
410,Sarah,red,brown,60,111,female
411,Ruby,blonde,blue,78,114,female
412,Phyllis,blonde,blue,51,211,female
413,John,brown,blue,57,129,female
414,Stephen,white,hazel,75,106,female
415,Charles,gray,brown,79,254,female
416,Linda,gray,brown,60,192,male
417,Victor,brown,blue,81,169,male
418,Raymond,black,brown,65,113,male
419,Larry,gray,brown,52,224,male
420,Robert,red,hazel,69,157,female
421,Andrew,blonde,black,56,145,male
422,Jimmy,blonde,brown,94,151,male
423,Evelyn,white,brown,71,210,male
424,Carlos,brown,blue,80,195,male
425,Sharon,red,black,93,252,female
426,Maria,black,green,65,91,male
427,Samuel,black,blue,84,260,female
428,Debra,brown,brown,61,132,female
429,Kathleen,blonde,green,69,283,female
430,Alan,gray,black,97,261,female
431,Sandra,black,blue,78,196,male
432,Michael,white,brown,53,179,male
433,Lillian,brown,blue,58,126,male
434,Janet,gray,black,100,286,female
435,Carol,brown,hazel,81,197,female
436,Brandon,brown,green,55,116,female
437,Carlos,brown,black,56,91,female
438,Mildred,brown,green,99,253,female
439,Amy,red,hazel,73,121,female
440,Harry,gray,hazel,64,268,female
441,Sean,white,black,95,129,male
442,Nicole,red,brown,53,193,male
443,Susan,white,black,70,117,female
444,Sean,red,green,72,118,female
445,Helen,red,blue,67,278,female
446,Raymond,blonde,hazel,71,286,female
447,Stephen,gray,green,79,228,female
448,Lori,gray,blue,59,286,female
449,Earl,red,brown,95,118,female
450,Kimberly,white,blue,86,143,male
451,Frances,brown,hazel,86,155,female
452,Jason,blonde,black,98,231,male
453,John,brown,brown,87,102,female
454,Willie,brown,black,87,256,female
455,Diane,blonde,black,74,202,female
456,Cynthia,gray,hazel,52,97,female
457,Margaret,black,blue,100,119,female
458,Lawrence,brown,black,61,117,female
459,Michelle,white,blue,62,203,female
460,Harold,brown,blue,69,175,male
461,Janet,gray,brown,75,220,male
462,Helen,red,brown,100,124,male
463,Rose,red,brown,72,282,male
464,Kimberly,blonde,black,95,168,female
465,Steve,blonde,hazel,82,253,female
466,Tammy,black,black,79,253,male
467,Gerald,gray,black,52,253,male
468,Paul,blonde,hazel,66,198,male
469,Ronald,white,blue,55,161,female
470,Janice,red,black,58,131,male
471,Juan,black,blue,67,100,female
472,Sharon,gray,blue,74,135,male
473,Theresa,white,green,76,273,male
474,Gregory,brown,hazel,79,239,male
475,Jessica,brown,hazel,67,129,male
476,Rose,brown,green,93,149,male
477,Nancy,red,black,84,99,female
478,Todd,brown,hazel,71,262,male
479,Louis,gray,green,67,270,female
480,Wanda,black,black,57,155,male
481,Nicole,blonde,blue,50,208,male
482,Kevin,gray,blue,63,239,female
483,Robert,gray,blue,75,235,male
484,Jeremy,gray,blue,84,195,female
485,Phyllis,brown,blue,51,105,male
486,Ralph,black,blue,94,283,male
487,Brian,blonde,black,64,126,male
488,Karen,white,green,84,271,female
489,Sharon,white,black,50,239,male
490,Thomas,black,green,59,286,female
491,Jesse,red,black,60,227,female
492,Teresa,blonde,brown,86,193,male
493,Sean,black,blue,90,147,female
494,Diana,black,hazel,58,188,female
495,Patricia,white,black,74,132,male
496,Charles,blonde,green,76,209,male
497,Gloria,white,blue,84,232,female
498,Wanda,red,black,67,247,female
499,Donald,black,hazel,85,197,male
500,Henry,black,brown,85,169,female
501,Tina,white,green,69,256,female
502,Donald,red,blue,96,218,male
503,Christine,blonde,green,73,253,male
504,Cynthia,red,black,98,92,female
505,Maria,white,hazel,96,262,female
506,Rachel,red,brown,59,250,female
507,Larry,brown,black,72,140,female
508,Deborah,black,brown,96,145,male
509,Gregory,blonde,green,82,171,male
510,Walter,white,black,93,290,male
511,Billy,white,green,64,158,female
512,Kathy,black,black,79,232,female
513,Joan,brown,green,70,111,male
514,Timothy,red,brown,61,181,female
515,Frances,blonde,hazel,56,98,female
516,Wayne,red,black,87,129,male
517,Kenneth,white,brown,88,244,female
518,Joshua,blonde,green,80,158,male
519,Gary,blonde,green,70,279,male
520,Barbara,white,blue,66,242,female
521,Richard,blonde,green,66,191,male
522,Phillip,blonde,green,80,91,male
523,Donald,white,blue,64,183,male
524,Jerry,white,brown,86,138,female
525,Jose,white,brown,69,245,female
526,Frances,gray,green,97,125,male
527,Lois,white,black,71,110,female
528,Lawrence,gray,blue,67,123,female
529,Heather,blonde,brown,95,225,male
530,Louise,red,black,57,270,male
531,Mark,blonde,green,73,212,male
532,Sharon,black,black,85,207,male
533,Judy,black,hazel,72,198,female
534,Frances,blonde,green,95,128,male
535,Lori,blonde,black,78,197,female
536,Aaron,blonde,green,95,165,male
537,Russell,white,hazel,73,157,male
538,Tammy,red,brown,86,224,female
539,Alice,white,hazel,71,124,male
540,Frances,blonde,green,59,141,male
541,Theresa,red,black,51,261,female
542,Jimmy,gray,hazel,56,146,male
543,Justin,gray,green,64,229,male
544,Ronald,white,blue,78,135,male
545,Beverly,red,blue,97,103,male
546,Willie,gray,blue,78,191,male
547,Evelyn,gray,green,69,273,female
548,Gerald,brown,hazel,74,220,female
549,Jean,red,blue,64,115,male
550,Donna,gray,brown,80,264,female
551,Michael,blonde,brown,61,116,female
552,Eric,brown,blue,65,125,male
553,Chris,blonde,blue,64,131,female
554,Jack,brown,hazel,78,175,female
555,Wayne,brown,brown,53,128,male
556,Jesse,white,black,67,199,male
557,Bobby,gray,brown,79,251,male
558,Louise,black,green,70,150,female
559,Julia,red,hazel,87,194,female
560,Adam,brown,blue,93,102,male
561,Ralph,gray,brown,94,160,female
562,Michelle,black,brown,68,119,male
563,Michelle,brown,green,83,272,male
564,Todd,black,brown,82,280,female
565,Diana,gray,blue,83,167,male
566,Bruce,white,black,61,275,male
567,Irene,black,hazel,79,274,female
568,Terry,blonde,black,59,171,female
569,Annie,blonde,hazel,74,99,male
570,Benjamin,black,black,87,214,female
571,Shawn,blonde,brown,97,263,male
572,Dennis,brown,brown,51,240,male
573,Roger,white,green,70,92,male
574,Marilyn,gray,green,87,91,female
575,Christine,gray,green,53,260,male
576,Katherine,gray,hazel,70,229,male
577,Kenneth,gray,black,89,162,male
578,Carol,white,black,77,101,female
579,Christopher,red,hazel,97,235,female
580,Beverly,gray,blue,98,207,male
581,Jean,blonde,blue,58,236,female
582,Earl,black,blue,74,264,female
583,Anthony,white,black,58,203,female
584,Frances,blonde,black,81,126,male
585,Lois,gray,blue,95,257,female
586,Henry,blonde,hazel,88,181,female
587,Marilyn,blonde,brown,56,268,male
588,Margaret,red,green,72,182,female
589,Cynthia,red,brown,95,265,male
590,Larry,gray,green,100,123,male
591,Amanda,red,hazel,99,170,male
592,Debra,blonde,black,94,140,male
593,Louis,white,brown,80,211,female
594,Heather,gray,hazel,93,213,female
595,Keith,black,black,65,193,female
596,Shirley,white,hazel,75,209,female
597,Amanda,black,brown,64,245,male
598,Karen,red,brown,79,97,female
599,Wayne,blonde,black,59,151,female
600,Donna,gray,green,90,102,male
601,Dorothy,brown,blue,99,109,female
602,Lois,white,hazel,82,153,female
603,Maria,white,brown,83,159,female
604,Jeremy,blonde,hazel,53,115,male
605,Kenneth,white,hazel,75,247,female
606,Janice,blonde,green,56,198,female
607,Thomas,gray,green,93,284,male
608,Ashley,gray,green,77,242,female
609,Louise,blonde,hazel,81,129,female
610,Denise,black,blue,92,217,male
611,Michael,red,brown,100,188,female
612,Kathleen,red,blue,69,167,male
613,Kenneth,red,green,68,149,male
614,Mary,red,black,85,110,male
615,Alice,red,black,76,236,female
616,Christopher,blonde,brown,71,222,female
617,Jacqueline,white,blue,86,234,female
618,Harry,brown,black,51,201,female
619,Mark,black,brown,91,245,female
620,Stephanie,white,blue,57,274,female
621,Louise,white,blue,58,246,female
622,Stephen,red,blue,79,286,female
623,Jason,brown,green,90,224,female
624,Rose,blonde,brown,54,127,male
625,Catherine,red,hazel,90,192,male
626,Daniel,red,black,96,103,female
627,Janice,black,hazel,91,208,male
628,Gregory,red,blue,63,127,male
629,Joshua,black,hazel,65,221,female
630,Ralph,red,green,100,269,female
631,Christopher,brown,brown,77,135,male
632,Clarence,gray,black,67,250,female
633,Amy,black,black,91,154,male
634,Keith,red,brown,50,226,male
635,Annie,white,brown,82,240,female
636,Janet,red,hazel,74,258,male
637,Steve,gray,brown,72,114,female
638,Robin,blonde,hazel,64,163,female
639,Bobby,white,green,80,136,female
640,Roy,blonde,hazel,92,263,male
641,Timothy,black,brown,83,288,male
642,Brandon,red,hazel,96,170,female
643,Dorothy,blonde,blue,86,162,female
644,Wayne,red,black,93,119,female
645,Lisa,brown,hazel,59,140,male
646,James,brown,blue,97,243,female
647,Daniel,blonde,black,53,129,male
648,Denise,brown,green,91,105,male
649,Antonio,blonde,black,74,178,female
650,Anne,blonde,black,81,289,male
651,Kathleen,blonde,hazel,61,192,male
652,Patricia,brown,brown,100,261,male
653,Gloria,blonde,green,51,110,female
654,Jimmy,black,blue,100,108,male
655,Tammy,black,hazel,72,99,female
656,Ralph,red,green,66,147,male
657,Bonnie,red,black,67,186,female
658,Annie,black,black,52,98,male
659,Evelyn,brown,brown,60,139,male
660,Michelle,black,black,67,152,male
661,Ryan,gray,green,95,140,female
662,Paul,white,blue,61,246,female
663,Lisa,blonde,green,100,275,male
664,Alice,red,black,61,96,female
665,Fred,gray,brown,93,104,female
666,Ann,red,blue,69,117,male
667,Diana,blonde,blue,55,273,male
668,Stephanie,gray,blue,91,244,male
669,Jack,blonde,brown,56,170,male
670,Wanda,white,blue,89,166,female
671,Fred,red,brown,93,101,male
672,Cheryl,brown,blue,77,221,male
673,Scott,gray,blue,100,252,male
674,Fred,red,blue,79,200,female
675,Lisa,black,hazel,70,261,male
676,Amanda,brown,black,61,192,female
677,Jane,gray,black,81,125,male
678,Jerry,red,brown,93,92,female
679,Katherine,blonde,brown,74,201,male
680,Stephen,blonde,hazel,53,182,male
681,Dennis,red,hazel,99,122,female
682,Amy,red,brown,88,107,male
683,Billy,red,blue,57,131,male
684,Michelle,brown,hazel,81,157,male
685,Randy,red,black,52,101,male
686,David,blonde,green,98,250,female
687,Lois,brown,hazel,53,113,male
688,Anna,red,blue,51,179,male
689,Carol,brown,hazel,64,217,male
690,Cynthia,brown,brown,63,241,female
691,Ernest,brown,blue,98,97,female
692,Willie,white,hazel,79,243,male
693,Carlos,white,brown,90,101,female
694,Brenda,black,black,52,112,male
695,Ruth,white,brown,74,151,male
696,Margaret,red,brown,53,102,female
697,Wanda,gray,blue,80,128,male
698,Jimmy,black,brown,92,238,female
699,Earl,brown,green,89,217,male
700,Jane,brown,brown,64,183,female
701,Irene,red,brown,68,92,female
702,Kelly,black,hazel,85,114,male
703,Patrick,brown,green,51,243,female
704,Stephen,gray,blue,55,217,male
705,Michael,brown,hazel,60,216,female
706,Joseph,red,blue,51,219,female
707,Arthur,red,green,93,263,male
708,Jennifer,white,black,96,250,male
709,Deborah,brown,brown,91,118,male
710,Kathleen,brown,hazel,54,182,male
711,Donna,gray,hazel,61,147,male
712,Roger,black,blue,52,222,male
713,Wayne,gray,blue,90,263,male
714,Carolyn,red,black,98,162,female
715,Walter,white,brown,91,201,female
716,Frances,gray,black,80,231,male
717,Bonnie,white,blue,60,115,male
718,Jane,white,green,99,116,male
719,Robert,blonde,brown,59,108,female
720,Lawrence,brown,hazel,77,198,female
721,Robin,brown,black,75,134,male
722,Shirley,white,brown,52,276,female
723,Eugene,black,black,81,117,male
724,Barbara,blonde,hazel,97,162,male
725,Daniel,red,blue,87,135,male
726,Stephanie,brown,hazel,87,102,female
727,Kelly,gray,black,64,216,female
728,Anthony,brown,green,71,250,female
729,Sandra,black,hazel,72,249,male
730,Craig,brown,blue,71,265,female
731,Lois,gray,green,81,277,female
732,Brenda,brown,black,69,110,female
733,Phyllis,brown,blue,63,207,female
734,Richard,gray,hazel,66,221,male
735,Kevin,blonde,green,95,117,male
736,Debra,white,brown,56,216,female
737,Amanda,gray,blue,56,285,female
738,Fred,blonde,black,73,175,male
739,Donald,blonde,black,93,251,female
740,William,white,black,83,200,female
741,Marilyn,red,brown,70,152,female
742,Heather,black,green,65,176,female
743,Louis,brown,brown,99,156,male
744,Eugene,brown,blue,67,289,female
745,Bobby,black,blue,82,251,female
746,Roy,brown,black,50,166,female
747,Louise,black,hazel,90,111,male
748,Anthony,blonde,black,53,172,male
749,Peter,brown,hazel,92,274,male
750,Ronald,brown,green,96,222,female
751,Benjamin,black,blue,53,186,male
752,Ernest,black,green,55,230,female
753,Kathleen,gray,green,67,215,male
754,Nicole,black,black,68,247,female
755,Norma,white,blue,67,259,female
756,Randy,brown,brown,92,208,female
757,Thomas,brown,hazel,60,290,female
758,Wanda,gray,blue,71,153,male
759,Henry,brown,black,80,119,female
760,Ronald,gray,hazel,58,253,female
761,Shawn,gray,blue,100,241,male
762,Justin,black,hazel,99,287,male
763,Joan,white,blue,69,116,female
764,Louise,red,black,96,235,female
765,Jason,black,hazel,75,287,male
766,Aaron,white,black,100,262,female
767,Joe,white,blue,75,267,male
768,Jimmy,white,blue,79,156,female
769,Christina,blonde,brown,93,210,male
770,Kathryn,brown,hazel,72,93,male
771,Linda,gray,blue,52,112,male
772,Martin,blonde,brown,92,234,female
